"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"MRS2"	"MRS2"	0.48115721890594	0.328876944849467	-0.724731783720001	"S01"	0.48115721890594	"IS01"
"ALDH1L1"	"ALDH1L1"	0.478576146073547	0.404685908256032	-0.806215934533723	"S01"	0.478576146073547	"IS01"
"PCM1"	"PCM1"	0.476101689042002	0.26306671438164	-0.648493582965005	"S01"	0.476101689042002	"IS01"
"DHRS11"	"DHRS11"	0.473643516206799	-0.0760924849733755	-0.273384189077078	"S01"	0.473643516206799	"IS01"
"RPL31"	"RPL31"	0.472542262370418	-0.273059804488712	-0.0557847846614822	"S01"	0.472542262370418	"IS01"
"P2RX5.TAX1BP3"	"P2RX5.TAX1BP3"	0.464250980350039	0.315389272302725	-0.697140875113462	"S01"	0.464250980350039	"IS01"
"EFCAB5"	"EFCAB5"	0.460169719799624	0.427712558861025	-0.817679109029558	"S01"	0.460169719799624	"IS01"
"DTX4"	"DTX4"	0.456286774451235	0.314803315668917	-0.690491011308688	"S01"	0.456286774451235	"IS01"
"OSR1"	"OSR1"	0.456011857952562	0.389182029783486	-0.772139963754892	"S01"	0.456011857952562	"IS01"
"ACOT2"	"ACOT2"	0.454799344923573	-0.0810817564566947	-0.253684854070384	"S01"	0.454799344923573	"IS01"
"DLL1"	"DLL1"	0.453707486084617	0.351730727862724	-0.729186072342276	"S01"	0.453707486084617	"IS01"
"ADIPOQ"	"ADIPOQ"	0.449139123790876	0.296337279925158	-0.664779209478157	"S01"	0.449139123790876	"IS01"
"RPS27A"	"RPS27A"	0.444517484632929	-0.532747981959692	0.251141297901871	"S01"	0.444517484632929	"IS01"
"COBL"	"COBL"	0.442051025720869	0.38680819519233	-0.759001033904476	"S01"	0.442051025720869	"IS01"
"RP11.514P8.7"	"RP11.514P8.7"	0.43790905970691	0.246840213774277	-0.601838597116276	"S01"	0.43790905970691	"IS01"
