"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"KCNA3"	"KCNA3"	1.22934146227944	-0.51917085508141	-0.689359228778263	"IS01"	1.22934146227944
"RASAL3"	"RASAL3"	1.22891187722657	0.235082641503314	-1.38072126061973	"IS01"	1.22891187722657
"GPSM3"	"GPSM3"	1.22459417857796	0.277644373473606	-1.41566352877798	"IS01"	1.22459417857796
"PSME2"	"PSME2"	1.21642145281383	-0.458272320195667	-0.732963509347647	"IS01"	1.21642145281383
"WAS"	"WAS"	1.21611735628409	0.176015327145473	-1.3144169264915	"IS01"	1.21611735628409
"CD80"	"CD80"	1.21575922674775	-0.080137812033813	-1.07914459466098	"IS01"	1.21575922674775
"TFEC"	"TFEC"	1.21059662629448	-0.368583183379138	-0.809700148347149	"IS01"	1.21059662629448
"CCDC64"	"CCDC64"	1.20704060397543	-0.516740811986684	-0.670444842628091	"IS01"	1.20704060397543
"CLEC4D"	"CLEC4D"	1.20580650588838	-0.148424310675507	-1.00707908496682	"IS01"	1.20580650588838
"GPR141"	"GPR141"	1.20354389037524	0.0785309593728816	-1.21308767949709	"IS01"	1.20354389037524
"AD000671.6"	"AD000671.6"	1.20296353547713	0.142744494632818	-1.27143138438291	"IS01"	1.20296353547713
"HLA.DRB5"	"HLA.DRB5"	1.20172999398419	0.0169203474976977	-1.15486131079752	"IS01"	1.20172999398419
"IL10RA"	"IL10RA"	1.2002692576144	-0.287423652250294	-0.874345000221503	"IS01"	1.2002692576144
"LPXN"	"LPXN"	1.19986661878712	-0.275889713604088	-0.88454170353058	"IS01"	1.19986661878712
"IPCEF1"	"IPCEF1"	1.1994447089811	-0.645678462226808	-0.544987141465152	"IS01"	1.1994447089811
"OAS2"	"OAS2"	1.19709498183962	-0.442951447796837	-0.72869201832662	"IS01"	1.19709498183962
"CCL8"	"CCL8"	1.19340807327906	0.187284071226333	-1.30322180048541	"IS01"	1.19340807327906
"APOL3"	"APOL3"	1.19275616416741	0.190139887640568	-1.30522296864644	"IS01"	1.19275616416741
"TAP2"	"TAP2"	1.19058767394783	-0.239647104350025	-0.908984655184004	"IS01"	1.19058767394783
"CLEC2D"	"CLEC2D"	1.18829451641737	-0.492717894538541	-0.674704751281011	"IS01"	1.18829451641737
"GZMM"	"GZMM"	1.18775677318668	-0.528132381960713	-0.641714259017514	"IS01"	1.18775677318668
"SIGLEC14"	"SIGLEC14"	1.18678733742201	0.179325072603343	-1.28964512139786	"IS01"	1.18678733742201
"IFNL1"	"IFNL1"	1.18473002340193	-0.434093067371254	-0.725093512311556	"IS01"	1.18473002340193
"RTP4"	"RTP4"	1.18252761505416	-0.342343444574813	-0.807154303508327	"IS01"	1.18252761505416
"LAP3"	"LAP3"	1.17614208803234	-0.152118080432521	-0.975566913963865	"IS01"	1.17614208803234
"KMO"	"KMO"	1.17596237101079	0.230810943510815	-1.32660278558109	"IS01"	1.17596237101079
"EVI2B"	"EVI2B"	1.17470227779864	-0.279955266501215	-0.856955006066633	"IS01"	1.17470227779864
"TNIP3"	"TNIP3"	1.17412402244406	-0.292773465038243	-0.844650462585859	"IS01"	1.17412402244406
"IL27"	"IL27"	1.17282247727608	0.0582495514649959	-1.16535990857335	"IS01"	1.17282247727608
"PDCD1LG2"	"PDCD1LG2"	1.17230472400133	-0.324108131814457	-0.814186784960832	"IS01"	1.17230472400133
"NUP210"	"NUP210"	1.17220032260082	-0.88893054140312	-0.296056646561837	"IS01"	1.17220032260082
"CCL4L2"	"CCL4L2"	1.1716306708376	-0.126608409228434	-0.994686093526805	"IS01"	1.1716306708376
"DOCK8"	"DOCK8"	1.16633670854761	-0.0223567994181255	-1.08528211972001	"IS01"	1.16633670854761
"PTCRA"	"PTCRA"	1.16402620050726	-0.315964508962539	-0.813807023004606	"IS01"	1.16402620050726
"HLA.DQA2"	"HLA.DQA2"	1.16304387705681	-0.168373276753625	-0.948240114516936	"IS01"	1.16304387705681
"TLR8"	"TLR8"	1.15969433286208	0.343414178004794	-1.41445420638063	"IS01"	1.15969433286208
"AOAH"	"AOAH"	1.1586193945066	-0.409426765377674	-0.722961291715285	"IS01"	1.1586193945066
"BCL2L14"	"BCL2L14"	1.15776105695818	-0.537377417565368	-0.604796603281287	"IS01"	1.15776105695818
"CD4"	"CD4"	1.15538706922758	0.032699753078338	-1.12539646103798	"IS01"	1.15538706922758
"C1QC"	"C1QC"	1.15123915947881	0.437240172243734	-1.49249120203133	"IS01"	1.15123915947881
"FCGR3A"	"FCGR3A"	1.14921480102576	0.305390934142139	-1.36964540853807	"IS01"	1.14921480102576
"CARD17"	"CARD17"	1.14899928955715	-0.306431176344573	-0.808303796147029	"IS01"	1.14899928955715
"SIGLEC10"	"SIGLEC10"	1.14549442564833	-0.0176831415677742	-1.06980833593488	"IS01"	1.14549442564833
"SLAMF8"	"SLAMF8"	1.14519140903516	0.279517520247789	-1.34210089145905	"IS01"	1.14519140903516
"MARCH1"	"MARCH1"	1.14501646097212	0.00890304343270558	-1.0937389058152	"IS01"	1.14501646097212
"TTC16"	"TTC16"	1.1414694104225	-0.716591868302578	-0.424982837958839	"IS01"	1.1414694104225
"EPSTI1"	"EPSTI1"	1.13731244734398	-0.288845096867496	-0.813352877619222	"IS01"	1.13731244734398
"CD300LF"	"CD300LF"	1.13100351058377	0.0588682672319533	-1.12627941584242	"IS01"	1.13100351058377
"PSMB10"	"PSMB10"	1.12749267491019	-0.211937940576715	-0.874578876258154	"IS01"	1.12749267491019
"OAS1"	"OAS1"	1.12666134548331	-0.200540613835242	-0.884243849615592	"IS01"	1.12666134548331
"CD274"	"CD274"	1.12604251396191	-0.306389447778401	-0.786577083592022	"IS01"	1.12604251396191
